book_id,title,author,goodreads_url
6,Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,
9,The House in the Cerulean Sea,TJ Klune,https://www.goodreads.com/book/show/45047384-the-house-in-the-cerulean-sea
12,Where the Crawdads Sing,Delia Owens,
17,Circe,Miller Madeline,https://www.goodreads.com/book/show/35959740-circe
21,Normal People,Sally Rooney,https://www.goodreads.com/book/show/41057294-normal-people
27,Harry Potter & The Deathly Hallows,J.K.Rowling,https://www.goodreads.com/book/show/230669199-harry-potter-and-the-deathly-hallows-by-j-k-rowling
32,Station Eleven,Emily St. John Mandel,https://www.goodreads.com/book/show/20170404-station-eleven
38,Pride & Prejudice,"maxi sanchez (Translator), Jane Austen",
42,Court Of Mist & Fury,Sarah J. Maas,
46,Song of Achilles,Madeline Miller,https://www.goodreads.com/book/show/55028733-circe-the-song-of-achilles
54,Ender's Game,Orson Scott Card,https://www.goodreads.com/book/show/375802.Ender_s_Game
56,Hate U Give,Angie Thomas,https://www.goodreads.com/book/show/58651625-the-hate-u-give
57,The Great Believers,Rebecca Makkai,https://www.goodreads.com/book/show/45304101-the-great-believers
61,Homegoing,Yaa Gyasi,https://www.goodreads.com/book/show/27071490-homegoing
81,Sea of Tranquility,Mandel Emily St. Jo,
83,And Then There Were None,Agatha Christie,https://www.goodreads.com/book/show/52711030-and-then-there-were-none
123,Writers & Lovers,Lily King,https://www.goodreads.com/book/show/45289222-writers-lovers
134,Nightingale,Kristin Hannah,https://www.goodreads.com/book/show/21853621-the-nightingale
150,Project Hail Mary,Andy Weir,
153,Fifth Season,N. K. Jemisin,
160,Babel,R.F. Kuang,https://www.goodreads.com/book/show/57945316-babel
169,The Candy House,Jennifer Egan,https://www.goodreads.com/book/show/58437521-the-candy-house
214,Tale For The Time Being,Ruth Ozeki,https://www.goodreads.com/book/show/15811545-a-tale-for-the-time-being
220,The Idiot,Elif Batuman,https://www.goodreads.com/book/show/30962053-the-idiot
225,Tom Lake,Ann Patchett,https://www.goodreads.com/book/show/63241104-tom-lake
233,The Hunger Games,SuzanneCollins,
250,Beartown,Fredrik Backman,https://www.goodreads.com/book/show/33413128-beartown
281,Once There Were Wolves,Charlotte McConaghy,https://www.goodreads.com/book/show/54860573-once-there-were-wolves
337,Finlay Donovan Is Killing It,Elle Cosimano,https://www.goodreads.com/book/show/53138099-finlay-donovan-is-killing-it
354,The Remains Of The Day,Kazuo Ishiguro,https://www.goodreads.com/book/show/28921.The_Remains_of_the_Day
355,Leave the World Behind,Rumaan Alam,https://www.goodreads.com/book/show/50358031-leave-the-world-behind
413,The Round House,Louise Erdrich,https://www.goodreads.com/book/show/13602426-the-round-house
416,Tell the Wolves I'm Home,Carol Rifka Brunt,https://www.goodreads.com/book/show/12875258-tell-the-wolves-i-m-home
417,Demon Copperhead,Barbara Kingsolver,https://www.goodreads.com/book/show/60194162-demon-copperhead
422,The One,Kiera Cass,
445,The Ballad of Never After,Stephanie Garber,https://www.goodreads.com/book/show/59808071-the-ballad-of-never-after
451,Madame Bovary,Gustave Flaubert,
488,Maame,Jessica George,https://www.goodreads.com/book/show/60784605-maame
498,Us Against You,Fredrik Backman,https://www.goodreads.com/book/show/36373463-us-against-you
513,Extremely Loud & Incredibly Close,Jonathan Safran Foer,https://www.goodreads.com/book/show/4588.Extremely_Loud_Incredibly_Close
633,Shuggie Bain,Douglas Stuart,https://www.goodreads.com/book/show/52741293-shuggie-bain
636,Disappearing Earth,Julia Phillips,https://www.goodreads.com/book/show/34563821-disappearing-earth
645,A Flicker in the Dark,Stacy Willingham,https://www.goodreads.com/book/show/57693172-a-flicker-in-the-dark
660,Yours Truly,Abby Jimenez,
701,The True Love Experiment,Christina Lauren,https://www.goodreads.com/book/show/62361081-the-true-love-experiment
704,The Heaven & Earth Grocery Store,James McBride,https://www.goodreads.com/book/show/65678550-the-heaven-earth-grocery-store
716,Howl's Moving Castle,Diana Wynne Jones,https://www.goodreads.com/book/show/47520.Castle_in_the_Air
747,A Constellation of Vital Phenomena,Anthony Marra,https://www.goodreads.com/book/show/18428067-a-constellation-of-vital-phenomena
777,The Dispossessed,Ursula K. Le Guin,https://www.goodreads.com/book/show/13651.The_Dispossessed
792,Never Lie,Freida McFadden,https://www.goodreads.com/book/show/62080187-never-lie
892,Made for Love,Alissa Nutting,https://www.goodreads.com/book/show/32600556-made-for-love
893,A Place for Us,Fatima Farheen Mirza,https://www.goodreads.com/book/show/36840397-a-place-for-us
936,How the Light Gets In,Louise Penny,https://www.goodreads.com/book/show/228579807-how-the-light-gets-in
955,Wonder Movie Tie-In Edition,R. J. Palacio,https://www.goodreads.com/book/show/35238778-wonder-movie-tie-in-edition
964,Code Name Hélène,Ariel Lawhon,https://www.goodreads.com/book/show/50089336-code-name-h-l-ne
980,The Stone Sky,N. K. Jemisin,https://www.goodreads.com/book/show/31817749-the-stone-sky
992,I'll Give You the Sun,Jandy Nelson,https://www.goodreads.com/book/show/20820994-i-ll-give-you-the-sun
1066,Home Fire,Kamila Shamsie,https://www.goodreads.com/book/show/33621427-home-fire
1076,Stoner,John Williams,https://www.goodreads.com/book/show/166997.Stoner
1091,The Return of the King,J.R.R. Tolkien,https://www.goodreads.com/book/show/61215384-the-return-of-the-king
1130,Code Name Verity,Elizabeth Wein,https://www.goodreads.com/book/show/57874238-code-name-verity-collection
1141,The Story of a New Name,Elena Ferrante,https://www.goodreads.com/book/show/226744820-the-story-of-a-new-name
1162,We Ride Upon Sticks,Quan Barry,https://www.goodreads.com/book/show/50215350-we-ride-upon-sticks
1168,North Woods,Daniel Mason,https://www.goodreads.com/book/show/71872930-north-woods
1206,The Poet X,Elizabeth Acevedo,https://www.goodreads.com/book/show/33294200-the-poet-x
1218,Deacon King Kong,James McBride,https://www.goodreads.com/book/show/51045613-deacon-king-kong
1222,The Girl Who Drank the Moon,Kelly Barnhill,https://www.goodreads.com/book/show/28110852-the-girl-who-drank-the-moon
1250,The Box in the Woods,Maureen Johnson,https://www.goodreads.com/book/show/52716736-the-box-in-the-woods
1271,The Simple Wild,K.A. Tucker,https://www.goodreads.com/book/show/36373564-the-simple-wild
1282,The Five Wounds,Kirstin Valdez Quade,https://www.goodreads.com/book/show/58085285-the-five-wounds
1326,Bright Young Women,Jessica Knoll,https://www.goodreads.com/book/show/101124639-bright-young-women
1353,Lightning Thief,Rick Riordan,
1363,We Are the Brennans,Tracey Lange,https://www.goodreads.com/book/show/55169040-we-are-the-brennans
1365,Salt to the Sea,Ruta Sepetys,https://www.goodreads.com/book/show/25614492-salt-to-the-sea
1368,Great Expectations,Charles Dickens,https://www.goodreads.com/book/show/501257.Great_Expectations
1406,Pizza Girl,Jean Kyoung Frazier,https://www.goodreads.com/book/show/44088751-pizza-girl
1467,Nettle & Bone,T Kingfisher,https://www.goodreads.com/book/show/56179377-nettle-bone
1509,Elatsoe,Darcie Little Badger,https://www.goodreads.com/book/show/59654158-elatsoe---excerpt
1534,The Dinner,Herman Koch,
1547,Carrie Soto is Back,Taylor Jenkins Reid,https://www.goodreads.com/book/show/60435878-carrie-soto-is-back
1608,Beasts of a Little Land,Juhea Kim,https://www.goodreads.com/book/show/57151981-beasts-of-a-little-land
1632,Brideshead Revisited,Evelyn Waugh,https://www.goodreads.com/book/show/143683317-brideshead-revisited
1731,Bring Up The Bodies,Hilary Mantel,https://www.goodreads.com/book/show/13507212-bring-up-the-bodies
1883,News of the World,Paulette Jiles,https://www.goodreads.com/book/show/25817493-news-of-the-world
1905,Vita Nostra,Marina & Sergey Dyachenko,
1934,The Devil Takes You Home,Gabino Iglesias,https://www.goodreads.com/book/show/58978299-the-devil-takes-you-home
1969,10:04,Ben Lerner,https://www.goodreads.com/book/show/20613582-10
2025,Harriet the Spy,Louise Fitzhugh,https://www.goodreads.com/book/show/3742.The_Long_Secret
2053,The New York Trilogy,Paul Auster,https://www.goodreads.com/book/show/434.Ghosts
2061,By the Shores of Silver Lake,Laura Ingalls Wilder,https://www.goodreads.com/book/show/137966360-by-the-shores-of-silver-lake-by-laura-ingalls-wilder-paperback-1967
2125,All My Puny Sorrows,Miriam Toews,https://www.goodreads.com/book/show/18339630-all-my-puny-sorrows
2155,The War that Saved My Life,Kimberly Brubaker Bradley,https://www.goodreads.com/book/show/33865643-the-war-i-finally-won
2194,The Sweetness of Water,Nathan Harris,https://www.goodreads.com/book/show/54404602-the-sweetness-of-water
2204,Acceptance,Jeff VanderMeer,
2205,Everything's Fine,Cecilia Rabess,https://www.goodreads.com/book/show/62919844-everything-s-fine
2219,The Frozen River,Ariel Lawhon,https://www.goodreads.com/book/show/112975658-the-frozen-river
2291,The Eyre Affair,Jasper Fforde,https://www.goodreads.com/book/show/27003.The_Eyre_Affair
2401,Concrete Rose,Angie Thomas,https://www.goodreads.com/book/show/56062038-concrete-rose-extended-sampler
2418,House of Hunger,Alexis Henderson,https://www.goodreads.com/book/show/60052118-house-of-hunger
2427,The Lost Man,Jane Harper,https://www.goodreads.com/book/show/39863488-the-lost-man
2457,The Orphan Master's Son,Adam Johnson,https://www.goodreads.com/book/show/11529868-the-orphan-master-s-son
2478,Daisy Haites,Jessa Hastings,
2492,We Are Not Like Them,Christine Pride,https://www.goodreads.com/book/show/56898303-we-are-not-like-them
2496,True Grit,Charles Portis,https://www.goodreads.com/book/show/169609789-true-grit
2512,"Rebecca  [Paperback] [Jul 16, 2015] Daphne Du Maurier",Daphne du Maurier,
2585,Alice's Adventures in Wonderland & Through the Looking-Glass,Lewis Carroll,https://www.goodreads.com/book/show/174793809-alice-s-adventures-in-wonderland-and-through-the-looking-glass
2631,A Portrait of the Artist as a Young Man,James Joyce,https://www.goodreads.com/book/show/159930447-a-portrait-of-the-artist-as-a-young-man-by-james-joyce
2654,Seven Days in June,Tia Williams,https://www.goodreads.com/book/show/55648820-seven-days-in-june
2735,The Winter of the Witch,Katherine Arden,https://www.goodreads.com/book/show/36621586-the-winter-of-the-witch
2754,The Things We Cannot Say,Kelly Rimmer,https://www.goodreads.com/book/show/40899464-the-things-we-cannot-say
2885,The Godfather,Mario Puzo,https://www.goodreads.com/book/show/44539870-the-godfather
2991,Unwind,Neal Shusterman,
3028,Highly Suspicious and Unfairly Cute,Talia Hibbert,https://www.goodreads.com/book/show/57370115-highly-suspicious-and-unfairly-cute
3048,In the Distance,Hernan Diaz,https://www.goodreads.com/book/show/34381330-in-the-distance
3069,Meet Me in the Margins,Melissa Ferguson,https://www.goodreads.com/book/show/58429255-meet-me-in-the-margins
3112,Any Man,Amber Tamblyn,https://www.goodreads.com/book/show/35068781-any-man
3135,Advika and the Hollywood Wives,Kirthana Ramisetti,https://www.goodreads.com/book/show/61918820-advika-and-the-hollywood-wives
3164,Yellow Wife,Sadeqa Johnson,https://www.goodreads.com/book/show/54304031-yellow-wife
3255,Darius the Great Is Not Okay,Adib Khorram,https://www.goodreads.com/book/show/37506437-darius-the-great-is-not-okay
3285,Four Treasures of the Sky,Jenny Tinghui Zhang,https://www.goodreads.com/book/show/55987334-four-treasures-of-the-sky
3290,Slewfoot,Brom,
3294,Last Summer on State Street,Toya Wolfe,https://www.goodreads.com/book/show/58884738-last-summer-on-state-street
3345,A Northern Light,Jennifer Donnelly,https://www.goodreads.com/book/show/64481.A_Northern_Light
3352,Uncle Tom's Cabin,Harriet Beecher Stowe,
