book_id,title,author,goodreads_url,review_text,review_rating,reviewer_id,reviewer_name,review_upvotes,review_downvotes,review_date,review_url,shelves,comment_count
9,The House in the Cerulean Sea,TJ Klune,https://www.goodreads.com/book/show/45047384-the-house-in-the-cerulean-sea,Mock review 1 for The House in the Cerulean Sea,5,mock_user1,Mock User 1,10,0,2023-01-15T00:00:00,https://www.goodreads.com/book/show/45047384-the-house-in-the-cerulean-sea/reviews/1,"['fiction', 'favorites']",2
9,The House in the Cerulean Sea,TJ Klune,https://www.goodreads.com/book/show/45047384-the-house-in-the-cerulean-sea,Mock review 2 for The House in the Cerulean Sea,4,mock_user2,Mock User 2,5,0,2023-02-20T00:00:00,https://www.goodreads.com/book/show/45047384-the-house-in-the-cerulean-sea/reviews/2,['fiction'],1
17,Circe,Miller Madeline,https://www.goodreads.com/book/show/35959740-circe,Mock review 1 for Circe,5,mock_user1,Mock User 1,10,0,2023-01-15T00:00:00,https://www.goodreads.com/book/show/35959740-circe/reviews/1,"['fiction', 'favorites']",2
17,Circe,Miller Madeline,https://www.goodreads.com/book/show/35959740-circe,Mock review 2 for Circe,4,mock_user2,Mock User 2,5,0,2023-02-20T00:00:00,https://www.goodreads.com/book/show/35959740-circe/reviews/2,['fiction'],1
21,Normal People,Sally Rooney,https://www.goodreads.com/book/show/41057294-normal-people,Mock review 1 for Normal People,5,mock_user1,Mock User 1,10,0,2023-01-15T00:00:00,https://www.goodreads.com/book/show/41057294-normal-people/reviews/1,"['fiction', 'favorites']",2
21,Normal People,Sally Rooney,https://www.goodreads.com/book/show/41057294-normal-people,Mock review 2 for Normal People,4,mock_user2,Mock User 2,5,0,2023-02-20T00:00:00,https://www.goodreads.com/book/show/41057294-normal-people/reviews/2,['fiction'],1
27,Harry Potter & The Deathly Hallows,J.K.Rowling,https://www.goodreads.com/book/show/230669199-harry-potter-and-the-deathly-hallows-by-j-k-rowling,Mock review 1 for Harry Potter & The Deathly Hallows,5,mock_user1,Mock User 1,10,0,2023-01-15T00:00:00,https://www.goodreads.com/book/show/230669199-harry-potter-and-the-deathly-hallows-by-j-k-rowling/reviews/1,"['fiction', 'favorites']",2
27,Harry Potter & The Deathly Hallows,J.K.Rowling,https://www.goodreads.com/book/show/230669199-harry-potter-and-the-deathly-hallows-by-j-k-rowling,Mock review 2 for Harry Potter & The Deathly Hallows,4,mock_user2,Mock User 2,5,0,2023-02-20T00:00:00,https://www.goodreads.com/book/show/230669199-harry-potter-and-the-deathly-hallows-by-j-k-rowling/reviews/2,['fiction'],1
32,Station Eleven,Emily St. John Mandel,https://www.goodreads.com/book/show/20170404-station-eleven,Mock review 1 for Station Eleven,5,mock_user1,Mock User 1,10,0,2023-01-15T00:00:00,https://www.goodreads.com/book/show/20170404-station-eleven/reviews/1,"['fiction', 'favorites']",2
32,Station Eleven,Emily St. John Mandel,https://www.goodreads.com/book/show/20170404-station-eleven,Mock review 2 for Station Eleven,4,mock_user2,Mock User 2,5,0,2023-02-20T00:00:00,https://www.goodreads.com/book/show/20170404-station-eleven/reviews/2,['fiction'],1
46,Song of Achilles,Madeline Miller,https://www.goodreads.com/book/show/55028733-circe-the-song-of-achilles,Mock review 1 for Song of Achilles,5,mock_user1,Mock User 1,10,0,2023-01-15T00:00:00,https://www.goodreads.com/book/show/55028733-circe-the-song-of-achilles/reviews/1,"['fiction', 'favorites']",2
46,Song of Achilles,Madeline Miller,https://www.goodreads.com/book/show/55028733-circe-the-song-of-achilles,Mock review 2 for Song of Achilles,4,mock_user2,Mock User 2,5,0,2023-02-20T00:00:00,https://www.goodreads.com/book/show/55028733-circe-the-song-of-achilles/reviews/2,['fiction'],1
54,Ender's Game,Orson Scott Card,https://www.goodreads.com/book/show/375802.Ender_s_Game,Mock review 1 for Ender's Game,5,mock_user1,Mock User 1,10,0,2023-01-15T00:00:00,https://www.goodreads.com/book/show/375802.Ender_s_Game/reviews/1,"['fiction', 'favorites']",2
54,Ender's Game,Orson Scott Card,https://www.goodreads.com/book/show/375802.Ender_s_Game,Mock review 2 for Ender's Game,4,mock_user2,Mock User 2,5,0,2023-02-20T00:00:00,https://www.goodreads.com/book/show/375802.Ender_s_Game/reviews/2,['fiction'],1
56,Hate U Give,Angie Thomas,https://www.goodreads.com/book/show/58651625-the-hate-u-give,Mock review 1 for Hate U Give,5,mock_user1,Mock User 1,10,0,2023-01-15T00:00:00,https://www.goodreads.com/book/show/58651625-the-hate-u-give/reviews/1,"['fiction', 'favorites']",2
56,Hate U Give,Angie Thomas,https://www.goodreads.com/book/show/58651625-the-hate-u-give,Mock review 2 for Hate U Give,4,mock_user2,Mock User 2,5,0,2023-02-20T00:00:00,https://www.goodreads.com/book/show/58651625-the-hate-u-give/reviews/2,['fiction'],1
57,The Great Believers,Rebecca Makkai,https://www.goodreads.com/book/show/45304101-the-great-believers,Mock review 1 for The Great Believers,5,mock_user1,Mock User 1,10,0,2023-01-15T00:00:00,https://www.goodreads.com/book/show/45304101-the-great-believers/reviews/1,"['fiction', 'favorites']",2
57,The Great Believers,Rebecca Makkai,https://www.goodreads.com/book/show/45304101-the-great-believers,Mock review 2 for The Great Believers,4,mock_user2,Mock User 2,5,0,2023-02-20T00:00:00,https://www.goodreads.com/book/show/45304101-the-great-believers/reviews/2,['fiction'],1
61,Homegoing,Yaa Gyasi,https://www.goodreads.com/book/show/27071490-homegoing,Mock review 1 for Homegoing,5,mock_user1,Mock User 1,10,0,2023-01-15T00:00:00,https://www.goodreads.com/book/show/27071490-homegoing/reviews/1,"['fiction', 'favorites']",2
61,Homegoing,Yaa Gyasi,https://www.goodreads.com/book/show/27071490-homegoing,Mock review 2 for Homegoing,4,mock_user2,Mock User 2,5,0,2023-02-20T00:00:00,https://www.goodreads.com/book/show/27071490-homegoing/reviews/2,['fiction'],1
83,And Then There Were None,Agatha Christie,https://www.goodreads.com/book/show/52711030-and-then-there-were-none,Mock review 1 for And Then There Were None,5,mock_user1,Mock User 1,10,0,2023-01-15T00:00:00,https://www.goodreads.com/book/show/52711030-and-then-there-were-none/reviews/1,"['fiction', 'favorites']",2
83,And Then There Were None,Agatha Christie,https://www.goodreads.com/book/show/52711030-and-then-there-were-none,Mock review 2 for And Then There Were None,4,mock_user2,Mock User 2,5,0,2023-02-20T00:00:00,https://www.goodreads.com/book/show/52711030-and-then-there-were-none/reviews/2,['fiction'],1
123,Writers & Lovers,Lily King,https://www.goodreads.com/book/show/45289222-writers-lovers,Mock review 1 for Writers & Lovers,5,mock_user1,Mock User 1,10,0,2023-01-15T00:00:00,https://www.goodreads.com/book/show/45289222-writers-lovers/reviews/1,"['fiction', 'favorites']",2
123,Writers & Lovers,Lily King,https://www.goodreads.com/book/show/45289222-writers-lovers,Mock review 2 for Writers & Lovers,4,mock_user2,Mock User 2,5,0,2023-02-20T00:00:00,https://www.goodreads.com/book/show/45289222-writers-lovers/reviews/2,['fiction'],1
134,Nightingale,Kristin Hannah,https://www.goodreads.com/book/show/21853621-the-nightingale,Mock review 1 for Nightingale,5,mock_user1,Mock User 1,10,0,2023-01-15T00:00:00,https://www.goodreads.com/book/show/21853621-the-nightingale/reviews/1,"['fiction', 'favorites']",2
134,Nightingale,Kristin Hannah,https://www.goodreads.com/book/show/21853621-the-nightingale,Mock review 2 for Nightingale,4,mock_user2,Mock User 2,5,0,2023-02-20T00:00:00,https://www.goodreads.com/book/show/21853621-the-nightingale/reviews/2,['fiction'],1
160,Babel,R.F. Kuang,https://www.goodreads.com/book/show/57945316-babel,Mock review 1 for Babel,5,mock_user1,Mock User 1,10,0,2023-01-15T00:00:00,https://www.goodreads.com/book/show/57945316-babel/reviews/1,"['fiction', 'favorites']",2
160,Babel,R.F. Kuang,https://www.goodreads.com/book/show/57945316-babel,Mock review 2 for Babel,4,mock_user2,Mock User 2,5,0,2023-02-20T00:00:00,https://www.goodreads.com/book/show/57945316-babel/reviews/2,['fiction'],1
169,The Candy House,Jennifer Egan,https://www.goodreads.com/book/show/58437521-the-candy-house,Mock review 1 for The Candy House,5,mock_user1,Mock User 1,10,0,2023-01-15T00:00:00,https://www.goodreads.com/book/show/58437521-the-candy-house/reviews/1,"['fiction', 'favorites']",2
169,The Candy House,Jennifer Egan,https://www.goodreads.com/book/show/58437521-the-candy-house,Mock review 2 for The Candy House,4,mock_user2,Mock User 2,5,0,2023-02-20T00:00:00,https://www.goodreads.com/book/show/58437521-the-candy-house/reviews/2,['fiction'],1
214,Tale For The Time Being,Ruth Ozeki,https://www.goodreads.com/book/show/15811545-a-tale-for-the-time-being,Mock review 1 for Tale For The Time Being,5,mock_user1,Mock User 1,10,0,2023-01-15T00:00:00,https://www.goodreads.com/book/show/15811545-a-tale-for-the-time-being/reviews/1,"['fiction', 'favorites']",2
214,Tale For The Time Being,Ruth Ozeki,https://www.goodreads.com/book/show/15811545-a-tale-for-the-time-being,Mock review 2 for Tale For The Time Being,4,mock_user2,Mock User 2,5,0,2023-02-20T00:00:00,https://www.goodreads.com/book/show/15811545-a-tale-for-the-time-being/reviews/2,['fiction'],1
220,The Idiot,Elif Batuman,https://www.goodreads.com/book/show/30962053-the-idiot,Mock review 1 for The Idiot,5,mock_user1,Mock User 1,10,0,2023-01-15T00:00:00,https://www.goodreads.com/book/show/30962053-the-idiot/reviews/1,"['fiction', 'favorites']",2
220,The Idiot,Elif Batuman,https://www.goodreads.com/book/show/30962053-the-idiot,Mock review 2 for The Idiot,4,mock_user2,Mock User 2,5,0,2023-02-20T00:00:00,https://www.goodreads.com/book/show/30962053-the-idiot/reviews/2,['fiction'],1
225,Tom Lake,Ann Patchett,https://www.goodreads.com/book/show/63241104-tom-lake,Mock review 1 for Tom Lake,5,mock_user1,Mock User 1,10,0,2023-01-15T00:00:00,https://www.goodreads.com/book/show/63241104-tom-lake/reviews/1,"['fiction', 'favorites']",2
225,Tom Lake,Ann Patchett,https://www.goodreads.com/book/show/63241104-tom-lake,Mock review 2 for Tom Lake,4,mock_user2,Mock User 2,5,0,2023-02-20T00:00:00,https://www.goodreads.com/book/show/63241104-tom-lake/reviews/2,['fiction'],1
250,Beartown,Fredrik Backman,https://www.goodreads.com/book/show/33413128-beartown,Mock review 1 for Beartown,5,mock_user1,Mock User 1,10,0,2023-01-15T00:00:00,https://www.goodreads.com/book/show/33413128-beartown/reviews/1,"['fiction', 'favorites']",2
250,Beartown,Fredrik Backman,https://www.goodreads.com/book/show/33413128-beartown,Mock review 2 for Beartown,4,mock_user2,Mock User 2,5,0,2023-02-20T00:00:00,https://www.goodreads.com/book/show/33413128-beartown/reviews/2,['fiction'],1
281,Once There Were Wolves,Charlotte McConaghy,https://www.goodreads.com/book/show/54860573-once-there-were-wolves,Mock review 1 for Once There Were Wolves,5,mock_user1,Mock User 1,10,0,2023-01-15T00:00:00,https://www.goodreads.com/book/show/54860573-once-there-were-wolves/reviews/1,"['fiction', 'favorites']",2
281,Once There Were Wolves,Charlotte McConaghy,https://www.goodreads.com/book/show/54860573-once-there-were-wolves,Mock review 2 for Once There Were Wolves,4,mock_user2,Mock User 2,5,0,2023-02-20T00:00:00,https://www.goodreads.com/book/show/54860573-once-there-were-wolves/reviews/2,['fiction'],1
337,Finlay Donovan Is Killing It,Elle Cosimano,https://www.goodreads.com/book/show/53138099-finlay-donovan-is-killing-it,Mock review 1 for Finlay Donovan Is Killing It,5,mock_user1,Mock User 1,10,0,2023-01-15T00:00:00,https://www.goodreads.com/book/show/53138099-finlay-donovan-is-killing-it/reviews/1,"['fiction', 'favorites']",2
337,Finlay Donovan Is Killing It,Elle Cosimano,https://www.goodreads.com/book/show/53138099-finlay-donovan-is-killing-it,Mock review 2 for Finlay Donovan Is Killing It,4,mock_user2,Mock User 2,5,0,2023-02-20T00:00:00,https://www.goodreads.com/book/show/53138099-finlay-donovan-is-killing-it/reviews/2,['fiction'],1
